No Prisms,Prisms,BNO,Prisms & BNO
11.45,9.37,9.49,0.12
17.92,15.30,7.46,-7.84
11.27,6.95,4.35,-2.60
17.04,21.61,4.57,-17.04
8.82,8.01,6.21,-1.80
10.02,9.68,9.59,-0.09
2.44,9.70,9.45,-0.25
8.04,8.98,3.74,-5.24
4.31,2.66,1.07,-1.59
11.91,8.10,6.08,-2.02
3.13,7.83,2.04,-5.79
11.28,8.55,5.58,-2.97
11.80,11.64,8.56,-3.08
10.15,10.04,4.35,-5.69
9.05,6.15,-2.90,-9.05
7.18,4.30,-2.88,-7.18
11.82,10.20,-1.62,-11.82
9.51,6.57,-2.94,-9.51
8.85,4.04,-4.81,-8.85
16.11,7.95,-8.16,-16.11
8.88,3.92,-4.96,-8.88
10.36,7.28,-3.08,-10.36