"No Prisms, X1 (n1-p1)","Prisms, X2 (n1-p1)","BNO, X3 (n1-p1)","Prisms & BNO, X4 (n1-p1)"
6.44,9.59,3.15,-6.44
9.33,11.33,13.68,2.35
7.88,17.03,9.15,12.52
6.49,7.73,1.24,-6.49
3.38,9.67,6.29,-3.38
8.13,12.20,4.07,-8.13
2.97,10.79,7.82,-2.97
4.78,9.21,4.43,-4.78
8.46,15.18,6.72,-8.46
8.60,11.91,3.31,-8.60
7.94,14.68,6.74,-7.94
7.94,13.15,5.21,-7.94
10.27,7.08,-3.19,-10.27
13.21,29.33,16.12,-13.21
6.18,9.40,3.22,-6.18
9.94,9.44,-0.5,-9.94
11.53,14.13,2.6,-11.53
7.39,15.58,8.19,-7.39
7.35,17.60,10.25,-7.35
8.02,2.49,-5.53,-8.02
5.36,14.74,9.38,-5.36
9.49,11.19,1.7,-9.49
11.45,9.37,9.49,0.12
17.92,15.30,7.46,-7.84
11.27,6.95,4.35,-2.60
17.04,21.61,4.57,-17.04
8.82,8.01,6.21,-1.80
10.02,9.68,9.59,-0.09
2.44,9.70,9.45,-0.25
8.04,8.98,3.74,-5.24
4.31,2.66,1.07,-1.59
11.91,8.10,6.08,-2.02
3.13,7.83,2.04,-5.79
11.28,8.55,5.58,-2.97
11.80,11.64,8.56,-3.08
10.15,10.04,4.35,-5.69
9.05,6.15,-2.90,-9.05
7.18,4.30,-2.88,-7.18
11.82,10.20,-1.62,-11.82
9.51,6.57,-2.94,-9.51
8.85,4.04,-4.81,-8.85
16.11,7.95,-8.16,-16.11
8.88,3.92,-4.96,-8.88
10.36,7.28,-3.08,-10.36